Player,Field goal percentage,Total points percentage,2 points percentage,Effective field goal percentage,Free throw percentage,True shooting percentage,Total points attempted ratio,Free Throw Attempt Rate,Player Efficiency Rating,playerRating,Position of the player,Age,Team of the player,Rank of the player,Games played
Nikola Jokić,0.583,0.337,0.652,0.62,0.81,0.661,0.22,0.357,32.8,183,C,26,DEN,290,74
Giannis Antetokounmpo,0.553,0.293,0.616,0.582,0.722,0.633,0.194,0.615,32.1,179,PF,27,MIL,12,67
Joel Embiid,0.499,0.371,0.529,0.534,0.814,0.616,0.188,0.602,31.2,177,C,27,PHI,162,68
Luka Dončić,0.457,0.353,0.528,0.529,0.744,0.571,0.406,0.349,25.1,173,PG,22,DAL,141,65
LeBron James,0.524,0.359,0.62,0.59,0.756,0.619,0.367,0.275,26.2,170,PF,37,LAL,274,56
Kevin Durant,0.518,0.383,0.568,0.57,0.91,0.634,0.269,0.367,25.6,169,PF,33,BRK,154,55
Jayson Tatum,0.453,0.353,0.524,0.526,0.853,0.578,0.416,0.3,21.8,169,SF,23,BOS,526,76
Dejounte Murray,0.462,0.327,0.504,0.5,0.794,0.533,0.237,0.199,22.3,168,PG,25,SAS,400,68
Rudy Gobert,0.713,0.0,0.718,0.713,0.69,0.732,0.008,0.864,24.7,168,C,29,UTA,195,66
Karl-Anthony Towns,0.529,0.41,0.58,0.591,0.822,0.64,0.301,0.385,24.1,168,C,26,MIN,546,74
Chris Paul,0.493,0.317,0.559,0.536,0.837,0.581,0.27,0.274,20.8,167,PG,36,PHO,438,65
Jimmy Butler,0.48,0.233,0.52,0.496,0.87,0.592,0.14,0.549,23.6,167,SF,32,MIA,87,57
Bam Adebayo,0.557,0.0,0.562,0.557,0.753,0.608,0.008,0.466,21.8,166,C,24,MIA,3,56
Stephen Curry,0.437,0.38,0.527,0.554,0.923,0.601,0.613,0.243,21.4,166,PG,33,GSW,126,64
Trae Young,0.46,0.382,0.512,0.536,0.904,0.603,0.395,0.358,25.4,165,PG,23,ATL,602,76
Pascal Siakam,0.494,0.344,0.527,0.525,0.749,0.565,0.181,0.314,20.3,165,PF,27,TOR,501,68
Devin Booker,0.466,0.383,0.508,0.53,0.868,0.576,0.336,0.255,21.3,165,SG,25,PHO,59,68
James Harden,0.41,0.33,0.476,0.485,0.877,0.583,0.452,0.54,20.9,165,PG,32,PHI,218,65
Robert Williams,0.736,0.0,0.738,0.736,0.722,0.745,0.003,0.245,22.1,165,C,24,BOS,589,61
Ja Morant,0.493,0.344,0.534,0.53,0.761,0.575,0.218,0.353,24.4,165,PG,22,MEM,390,57
Donovan Mitchell,0.448,0.355,0.533,0.533,0.853,0.572,0.475,0.227,21.6,164,SG,25,UTA,383,67
Anthony Davis,0.532,0.186,0.571,0.542,0.713,0.578,0.101,0.351,23.9,164,C,28,LAL,127,40
LaMelo Ball,0.429,0.389,0.462,0.517,0.872,0.554,0.451,0.194,19.7,164,PG,20,CHO,25,75
DeMar DeRozan,0.504,0.352,0.52,0.521,0.877,0.59,0.093,0.386,23.1,163,PF,32,CHI,134,76
Fred VanVleet,0.403,0.377,0.44,0.513,0.874,0.552,0.585,0.202,17.3,163,PG,27,TOR,554,65
Jarrett Allen,0.677,0.1,0.688,0.678,0.708,0.698,0.018,0.428,23.0,163,C,23,CLE,8,56
Kristaps Porziņģis,0.459,0.31,0.532,0.51,0.867,0.577,0.329,0.373,23.7,163,PF,26,WAS,455,51
Jaylen Brown,0.473,0.358,0.544,0.541,0.758,0.574,0.381,0.261,18.9,163,SF,25,BOS,76,66
Al Horford,0.467,0.336,0.582,0.546,0.842,0.574,0.466,0.167,16.7,162,C,35,BOS,250,69
Jrue Holiday,0.501,0.411,0.547,0.57,0.761,0.593,0.336,0.189,19.8,162,PG,31,MIL,245,67
Shai Gilgeous-Alexander,0.453,0.3,0.514,0.496,0.81,0.557,0.282,0.385,20.9,162,PG,23,OKC,192,56
Domantas Sabonis,0.573,0.312,0.623,0.598,0.741,0.637,0.162,0.429,21.9,162,PF-C,25,SAC,488,62
Paul George,0.421,0.354,0.467,0.493,0.858,0.538,0.404,0.233,18.6,162,PF,31,LAC,189,31
Desmond Bane,0.461,0.436,0.484,0.565,0.903,0.592,0.475,0.141,17.6,161,SG,23,MEM,28,76
Darius Garland,0.462,0.383,0.512,0.536,0.892,0.576,0.387,0.205,19.0,161,PG,22,CLE,184,68
Jonas Valančiūnas,0.544,0.361,0.581,0.574,0.82,0.617,0.168,0.308,21.2,161,C,29,NOP,551,74
Isaiah Hartenstein,0.626,0.467,0.64,0.645,0.689,0.664,0.082,0.361,22.0,160,C,23,LAC,227,68
Miles Bridges,0.491,0.331,0.59,0.554,0.802,0.593,0.383,0.274,17.9,160,PF,23,CHO,67,80
Draymond Green,0.525,0.296,0.586,0.556,0.659,0.582,0.21,0.354,14.3,160,PF,31,GSW,204,46
Nikola Vučević,0.473,0.314,0.537,0.518,0.76,0.533,0.287,0.105,18.2,160,C,31,CHI,557,73
Deandre Ayton,0.634,0.368,0.642,0.639,0.746,0.656,0.027,0.204,21.9,160,C,23,PHO,22,58
Tyrese Haliburton,0.473,0.414,0.517,0.562,0.842,0.595,0.428,0.209,18.2,160,SG-PG,21,IND,214,77
Evan Mobley,0.508,0.25,0.541,0.522,0.663,0.549,0.111,0.304,16.1,160,PF,20,CLE,384,69
Julius Randle,0.411,0.308,0.458,0.459,0.756,0.509,0.313,0.322,15.7,159,PF,27,NYK,467,72
Mike Conley,0.435,0.408,0.464,0.542,0.796,0.572,0.523,0.205,17.2,159,PG,34,UTA,113,72
Clint Capela,0.613,0.0,0.614,0.613,0.473,0.604,0.002,0.28,21.4,159,C,27,ATL,93,74
Scottie Barnes,0.492,0.301,0.543,0.524,0.735,0.552,0.207,0.231,16.3,159,PF,20,TOR,32,74
Kevin Love,0.43,0.392,0.493,0.553,0.838,0.594,0.627,0.26,19.6,159,C,33,CLE,339,74
Brandon Clarke,0.644,0.227,0.666,0.65,0.654,0.66,0.049,0.291,23.7,159,PF,25,MEM,106,64
Zach LaVine,0.476,0.389,0.534,0.554,0.853,0.605,0.401,0.316,20.0,159,SG,26,CHI,324,67
